Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1670773758727,11/12/2022 15:49:18,1670773758759,0,11/12/2022 15:49:18,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1440x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670773768218,11/12/2022 15:49:28,1670773768306,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670773768273,11/12/2022 15:49:28,1670773768309,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670773768273,11/12/2022 15:49:28,1670773768309,0,11/12/2022 15:49:28,96489,6,questionnaire-tqea,,25860775,62e3c6ed4917b3c0c816ccf0,7647715,,complete,,6395fa2da15fc13cfaca70e8,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1440x960,1423x841,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,9550
1,1670774085974,11/12/2022 15:54:45,1670774086098,0,11/12/2022 15:54:46,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774101163,11/12/2022 15:55:01,1670774101315,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774101251,11/12/2022 15:55:01,1670774101316,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,Some of them were impossible to see!
4,1670774101251,11/12/2022 15:55:01,1670774101316,0,11/12/2022 15:55:01,96489,6,questionnaire-tqea,,25860958,5f0c94983314760efb2814c1,7647762,,complete,,6395fbbf7b95028e393f7b01,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,15219
1,1670774092452,11/12/2022 15:54:52,1670774092348,0,11/12/2022 15:54:52,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1135x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774098028,11/12/2022 15:54:58,1670774097953,0,11/12/2022 15:54:57,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1120x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774098094,11/12/2022 15:54:58,1670774097954,0,11/12/2022 15:54:57,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1120x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,
4,1670774098094,11/12/2022 15:54:58,1670774097954,0,11/12/2022 15:54:57,96489,6,questionnaire-tqea,,25860961,5b76fad7e33f64000165b9f8,7647742,,complete,,6395fb4d07d486420f9e6c62,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1120x673,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,5607
1,1670774203414,11/12/2022 15:56:43,1670774202780,0,11/12/2022 15:56:42,96489,6,questionnaire-tqea,,25860991,5ef722c333956242acf17935,7647767,,complete,,6395fbde195fd474588cdd34,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1242x561,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774209482,11/12/2022 15:56:49,1670774208899,0,11/12/2022 15:56:48,96489,6,questionnaire-tqea,,25860991,5ef722c333956242acf17935,7647767,,complete,,6395fbde195fd474588cdd34,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1226x561,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774209577,11/12/2022 15:56:49,1670774208900,0,11/12/2022 15:56:48,96489,6,questionnaire-tqea,,25860991,5ef722c333956242acf17935,7647767,,complete,,6395fbde195fd474588cdd34,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1226x561,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,
4,1670774209577,11/12/2022 15:56:49,1670774208901,0,11/12/2022 15:56:48,96489,6,questionnaire-tqea,,25860991,5ef722c333956242acf17935,7647767,,complete,,6395fbde195fd474588cdd34,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1226x561,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,6121
1,1670774244037,11/12/2022 15:57:24,1670774243749,0,11/12/2022 15:57:23,96489,6,questionnaire-tqea,,25861004,58413489d0f9ec000178a3ae,7647777,,complete,,6395fc3cead872a68dd33a36,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x975,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774262101,11/12/2022 15:57:42,1670774261844,0,11/12/2022 15:57:41,96489,6,questionnaire-tqea,,25861004,58413489d0f9ec000178a3ae,7647777,,complete,,6395fc3cead872a68dd33a36,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x975,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670774262178,11/12/2022 15:57:42,1670774261845,0,11/12/2022 15:57:41,96489,6,questionnaire-tqea,,25861004,58413489d0f9ec000178a3ae,7647777,,complete,,6395fc3cead872a68dd33a36,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x975,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670774262178,11/12/2022 15:57:42,1670774261845,0,11/12/2022 15:57:41,96489,6,questionnaire-tqea,,25861004,58413489d0f9ec000178a3ae,7647777,,complete,,6395fc3cead872a68dd33a36,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x975,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,18096
1,1670774335134,11/12/2022 15:58:55,1670774335696,0,11/12/2022 15:58:55,96489,6,questionnaire-tqea,,25861037,62fc2c20d6cf5515c1f52085,7647780,,complete,,6395fc389388311fecfcb419,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774366121,11/12/2022 15:59:26,1670774366716,0,11/12/2022 15:59:26,96489,6,questionnaire-tqea,,25861037,62fc2c20d6cf5515c1f52085,7647780,,complete,,6395fc389388311fecfcb419,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670774366268,11/12/2022 15:59:26,1670774366718,0,11/12/2022 15:59:26,96489,6,questionnaire-tqea,,25861037,62fc2c20d6cf5515c1f52085,7647780,,complete,,6395fc389388311fecfcb419,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670774366268,11/12/2022 15:59:26,1670774366718,0,11/12/2022 15:59:26,96489,6,questionnaire-tqea,,25861037,62fc2c20d6cf5515c1f52085,7647780,,complete,,6395fc389388311fecfcb419,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,31022
1,1670774408169,11/12/2022 16:00:08,1670774407912,0,11/12/2022 16:00:07,96489,6,questionnaire-tqea,,25861064,5f61247995b5a709106e77de,7647798,,complete,,6395fca3f1f631f2f4592c1b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,2560x1440,2560x1218,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774527383,11/12/2022 16:02:07,1670774527165,0,11/12/2022 16:02:07,96489,6,questionnaire-tqea,,25861064,5f61247995b5a709106e77de,7647798,,complete,,6395fca3f1f631f2f4592c1b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,2560x1440,2560x1218,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774527431,11/12/2022 16:02:07,1670774527166,0,11/12/2022 16:02:07,96489,6,questionnaire-tqea,,25861064,5f61247995b5a709106e77de,7647798,,complete,,6395fca3f1f631f2f4592c1b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,2560x1440,2560x1218,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,I got jumpy when it alerted me that I was not responding to the data quickly enough. That was about half way through. 
4,1670774527431,11/12/2022 16:02:07,1670774527166,0,11/12/2022 16:02:07,96489,6,questionnaire-tqea,,25861064,5f61247995b5a709106e77de,7647798,,complete,,6395fca3f1f631f2f4592c1b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,2560x1440,2560x1218,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,119254
1,1670849960407,12/12/2022 12:59:20,1670849960332,0,12/12/2022 12:59:20,96489,6,questionnaire-tqea,,25879310,5f0f56e34a14ba0fa8389150,7651899,,complete,,639723993fc8728a89fcb3dc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670849974108,12/12/2022 12:59:34,1670849974005,0,12/12/2022 12:59:34,96489,6,questionnaire-tqea,,25879310,5f0f56e34a14ba0fa8389150,7651899,,complete,,639723993fc8728a89fcb3dc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670849974194,12/12/2022 12:59:34,1670849974009,0,12/12/2022 12:59:34,96489,6,questionnaire-tqea,,25879310,5f0f56e34a14ba0fa8389150,7651899,,complete,,639723993fc8728a89fcb3dc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670849974194,12/12/2022 12:59:34,1670849974009,0,12/12/2022 12:59:34,96489,6,questionnaire-tqea,,25879310,5f0f56e34a14ba0fa8389150,7651899,,complete,,639723993fc8728a89fcb3dc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x722,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,13677
1,1670774292503,11/12/2022 15:58:12,1670774292440,0,11/12/2022 15:58:12,96489,6,questionnaire-tqea,,25861017,5eb087d83d8745127270fb51,7647784,,complete,,6395fc524452a895548beef2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1386x685,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774300756,11/12/2022 15:58:20,1670774300739,0,11/12/2022 15:58:20,96489,6,questionnaire-tqea,,25861017,5eb087d83d8745127270fb51,7647784,,complete,,6395fc524452a895548beef2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1371x685,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,engagement-value,1
3,1670774300817,11/12/2022 15:58:20,1670774300741,0,11/12/2022 15:58:20,96489,6,questionnaire-tqea,,25861017,5eb087d83d8745127270fb51,7647784,,complete,,6395fc524452a895548beef2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1371x685,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,response_comment,
4,1670774300817,11/12/2022 15:58:20,1670774300741,0,11/12/2022 15:58:20,96489,6,questionnaire-tqea,,25861017,5eb087d83d8745127270fb51,7647784,,complete,,6395fc524452a895548beef2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1371x685,urn-video,debriefing-video,2,Team Bandit,,,bandit-video,consented,,,,,,,,,,,,,,,,,,urn-video,,,,consented,No,END QUESTIONNAIRE,8301
1,1670774277321,11/12/2022 15:57:57,1670774278151,0,11/12/2022 15:57:58,96489,6,questionnaire-tqea,,25861012,5e29dcdf1654ed023e89cc6a,7647786,,complete,,6395fc4ad500c59b36ceb5ed,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1600x900,1600x757,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774296962,11/12/2022 15:58:16,1670774297805,0,11/12/2022 15:58:17,96489,6,questionnaire-tqea,,25861012,5e29dcdf1654ed023e89cc6a,7647786,,complete,,6395fc4ad500c59b36ceb5ed,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1600x900,1583x757,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774297102,11/12/2022 15:58:17,1670774297807,0,11/12/2022 15:58:17,96489,6,questionnaire-tqea,,25861012,5e29dcdf1654ed023e89cc6a,7647786,,complete,,6395fc4ad500c59b36ceb5ed,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1600x900,1583x757,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,
4,1670774297102,11/12/2022 15:58:17,1670774297807,0,11/12/2022 15:58:17,96489,6,questionnaire-tqea,,25861012,5e29dcdf1654ed023e89cc6a,7647786,,complete,,6395fc4ad500c59b36ceb5ed,computer,Desktop or Laptop,Windows 7,Chrome 106.0.0.0,1600x900,1583x757,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,19657
1,1670774060174,11/12/2022 15:54:20,1670774060827,0,11/12/2022 15:54:20,96489,6,questionnaire-tqea,,25860950,62c444eeb052baf0866a6d5e,7647751,,complete,,6395fab9223e6e62b82f18d7,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1320x880,1320x729,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1670774072389,11/12/2022 15:54:32,1670774073068,0,11/12/2022 15:54:33,96489,6,questionnaire-tqea,,25860950,62c444eeb052baf0866a6d5e,7647751,,complete,,6395fab9223e6e62b82f18d7,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1320x880,1303x729,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,engagement-value,1
3,1670774072441,11/12/2022 15:54:32,1670774073070,0,11/12/2022 15:54:33,96489,6,questionnaire-tqea,,25860950,62c444eeb052baf0866a6d5e,7647751,,complete,,6395fab9223e6e62b82f18d7,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1320x880,1303x729,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,response_comment,
4,1670774072441,11/12/2022 15:54:32,1670774073071,0,11/12/2022 15:54:33,96489,6,questionnaire-tqea,,25860950,62c444eeb052baf0866a6d5e,7647751,,complete,,6395fab9223e6e62b82f18d7,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1320x880,1303x729,rdk-video,debriefing-video,2,Team RDK,,rdk-video,,consented,,,,,,,,,,,rdk-video,,,,,,,,,,,consented,No,END QUESTIONNAIRE,12244
END OF FILE
